section,coordinate_um,X,Y,Z,Edep
"x=0, z=0",0.34,0,168,100,2.2062576409898454e-32
"x=0, z=0",0.345,0,169,100,5.072188422796968e-32
"x=0, z=0",0.35,0,170,100,3.917982751138129e-32
"x=0, z=0",0.355,0,171,100,4.0582425011175027e-32
"x=0, z=0",0.36,0,172,100,4.377735045641949e-32
"x=0, z=0",0.365,0,173,100,1.245487901748274e-31
"x=0, z=0",0.37,0,174,100,4.133177797106483e-32
"x=0, z=0",0.375,0,175,100,4.5830544113260416e-32
"x=0, z=0",0.38,0,176,100,5.274421725510087e-32
"x=0, z=0",0.385,0,177,100,3.0124407153284354e-32
"x=0, z=0",0.39,0,178,100,2.888547971403797e-32
"x=0, z=0",0.395,0,179,100,5.026181761223735e-31
"x=0, z=0",0.4,0,180,100,1.5321745096604011e-32
"x=0, z=0",0.405,0,181,100,2.2514279014403463e-32
"x=0, z=0",0.41,0,182,100,4.208515926066833e-32
"x=0, z=0",0.415,0,183,100,6.375354479062476e-32
"x=0, z=0",0.42,0,184,100,2.5956605235040105e-32
"x=0, z=0",0.425,0,185,100,3.3125136440843086e-32
"x=0, z=0",0.43,0,186,100,3.7510412408198207e-32
"x=0, z=0",0.435,0,187,100,4.2723294079431637e-32
"x=0, z=0",0.44,0,188,100,5.01761500931928e-32
"x=0, z=0",0.445,0,189,100,2.3649835889093615e-32
"x=0, z=0",0.45,0,190,100,2.3617274718812688e-32
"x=0, z=0",0.455,0,191,100,1.5118140210348239e-31
"x=0, z=0",0.46,0,192,100,2.6572214860663864e-31
"x=0, z=0",0.465,0,193,100,4.178830342014056e-32
"x=0, z=0",0.47,0,194,100,5.899049791703947e-32
"x=0, z=0",0.475,0,195,100,5.329814743787655e-32
"x=0, z=0",0.48,0,196,100,2.570938566479074e-32
"x=0, z=0",0.485,0,197,100,1.2190102062778817e-32
"x=0, z=0",0.49,0,198,100,3.3859714212163627e-32
"x=0, z=0",0.495,0,199,100,1.2490818966734598e-32
"x=0, y=0",-0.5,0,100,0,6.922649765839135e-32
"x=0, y=0",-0.495,0,100,1,1.2490818966734598e-32
"x=0, y=0",-0.49,0,100,2,3.3859714212163627e-32
"x=0, y=0",-0.485,0,100,3,1.2190102062778817e-32
"x=0, y=0",-0.48,0,100,4,2.570938566479074e-32
"x=0, y=0",-0.475,0,100,5,5.329814743787655e-32
"x=0, y=0",-0.47,0,100,6,5.899049791703947e-32
"x=0, y=0",-0.465,0,100,7,4.178830342014056e-32
"x=0, y=0",-0.46,0,100,8,2.6572214860663864e-31
"x=0, y=0",-0.455,0,100,9,1.5118140210348239e-31
"x=0, y=0",-0.45,0,100,10,2.3617274718812688e-32
"x=0, y=0",-0.445,0,100,11,2.3649835889093615e-32
"x=0, y=0",-0.44,0,100,12,5.01761500931928e-32
"x=0, y=0",-0.435,0,100,13,4.2723294079431637e-32
"x=0, y=0",-0.43,0,100,14,3.7510412408198207e-32
"x=0, y=0",-0.425,0,100,15,3.3125136440843086e-32
"x=0, y=0",-0.42,0,100,16,2.5956605235040105e-32
"x=0, y=0",-0.415,0,100,17,6.375354479062476e-32
